Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada,Perimetro,Estacao,Custo_Fertilizante
Arroz,63,258.29999999999995,Calcário,Sulcos,Diária,31,Composto,Ferrugem,Não,Baixo,65.16840141841854,Outono,150
Cana-de-Açúcar,86,352.6,Calcário,Sulcos,Semanal,33,Nitrogênio,Ferrugem,Não,Baixo,62.616020917249614,Outono,200
Uva,51,224.4,Calcário,Gotejamento,Semanal,33,Composto,Nenhuma,Não,Médio,155.14536971886798,Inverno,150
Arroz,25,102.5,Calcário,Gotejamento,Semanal,25,Nitrogênio,Nenhuma,Sim,Baixo,60.91445095462903,Inverno,200
Batata,58,203.0,Calcário,Gotejamento,Mensal,28,Orgânico,Insetos,Não,Alto,173.27900889355345,Verão,100
Soja,63,207.9,Silte,Gotejamento,Semanal,22,Fosfato,Insetos,Sim,Médio,155.93633407347443,Outono,180
Cana-de-Açúcar,62,204.6,Argila,Aspersão,Semanal,25,Nitrogênio,Fungos,Não,Baixo,62.202317096284965,Primavera,200
Cana-de-Açúcar,22,96.8,Areia,Aspersão,Diária,34,Composto,Ferrugem,Sim,Médio,62.72565711277879,Verão,150
Uva,58,150.8,Argila,Sulcos,Semanal,18,Fosfato,Ferrugem,Sim,Médio,197.99593677517632,Inverno,180
Batata,58,232.0,Calcário,Sulcos,Mensal,33,Orgânico,Fungos,Sim,Médio,106.14061936341804,Outono,100
Batata,86,266.6,Silte,Gotejamento,Mensal,24,Fosfato,Fungos,Não,Baixo,105.59632206003363,Primavera,180
Trigo,49,156.8,Aluvial,Sulcos,Diária,24,Nitrogênio,Ferrugem,Sim,Alto,171.91993508862538,Primavera,200
Uva,52,187.2,Silte,Aspersão,Mensal,26,Orgânico,Fungos,Sim,Alto,192.08728660757882,Verão,100
Café,42,184.8,Calcário,Gotejamento,Semanal,28,Composto,Nenhuma,Não,Baixo,197.90015957343064,Outono,150
Soja,70,210.0,Silte,Sulcos,Semanal,19,Orgânico,Insetos,Não,Médio,163.00672778884126,Outono,100
Milho,15,61.49999999999999,Silte,Aspersão,Semanal,33,Orgânico,Insetos,Sim,Baixo,106.43893782963737,Inverno,100
Cana-de-Açúcar,54,243.0,Calcário,Aspersão,Mensal,35,Nenhum,Fungos,Não,Baixo,62.52510750480032,Outono,0
Milho,60,156.0,Silte,Sulcos,Mensal,21,Orgânico,Fungos,Não,Baixo,166.5720373891155,Outono,100
Arroz,97,329.8,Areia,Aspersão,Mensal,29,Orgânico,Ferrugem,Sim,Médio,133.76063746037076,Verão,100
Arroz,8,26.4,Areia,Sulcos,Diária,18,Fosfato,Nenhuma,Sim,Baixo,113.63330138704644,Outono,180
Milho,53,254.4,Silte,Gotejamento,Mensal,33,Composto,Nenhuma,Sim,Médio,185.9531577642104,Primavera,150
Arroz,60,204.00000000000003,Aluvial,Sulcos,Mensal,27,Fosfato,Insetos,Não,Baixo,66.6796223459227,Verão,180
Café,5,18.5,Calcário,Aspersão,Diária,29,Fosfato,Fungos,Não,Alto,123.89376564362887,Verão,180
Batata,68,244.8,Areia,Sulcos,Diária,26,Nitrogênio,Fungos,Sim,Baixo,51.70304671511286,Inverno,200
Arroz,6,27.6,Aluvial,Gotejamento,Mensal,34,Fosfato,Nenhuma,Sim,Baixo,120.29909629911894,Outono,180
Trigo,96,336.0,Silte,Sulcos,Mensal,25,Nenhum,Insetos,Sim,Alto,58.4454913522756,Inverno,0
Arroz,94,291.40000000000003,Aluvial,Aspersão,Mensal,26,Nenhum,Insetos,Sim,Médio,67.82268744021079,Primavera,0
Soja,47,235.0,Argila,Gotejamento,Diária,32,Nitrogênio,Nenhuma,Sim,Médio,67.62893701656573,Verão,200
Café,99,445.5,Areia,Gotejamento,Semanal,34,Composto,Insetos,Não,Baixo,147.38154531740952,Verão,150
Soja,55,247.5,Silte,Gotejamento,Mensal,35,Composto,Fungos,Não,Alto,161.9067318898135,Verão,150
Soja,40,168.0,Calcário,Aspersão,Diária,24,Fosfato,Nenhuma,Sim,Médio,137.50531476457394,Primavera,180
Trigo,52,176.79999999999998,Silte,Sulcos,Diária,24,Fosfato,Insetos,Sim,Baixo,194.32588227118129,Primavera,180
Café,16,78.4,Calcário,Aspersão,Diária,31,Fosfato,Nenhuma,Sim,Alto,106.23058692855561,Inverno,180
Café,13,33.800000000000004,Silte,Gotejamento,Mensal,19,Composto,Fungos,Não,Médio,92.8568129422791,Inverno,150
Uva,30,117.0,Aluvial,Gotejamento,Diária,31,Orgânico,Insetos,Não,Médio,180.28986922841904,Inverno,100
Café,19,72.2,Aluvial,Sulcos,Diária,30,Nenhum,Insetos,Não,Alto,83.5393757779179,Outono,0
Café,17,49.3,Aluvial,Sulcos,Diária,19,Orgânico,Insetos,Sim,Alto,194.4833809160917,Verão,100
Café,63,252.0,Argila,Sulcos,Mensal,33,Orgânico,Fungos,Não,Alto,51.82317120347245,Verão,100
Trigo,19,66.5,Calcário,Sulcos,Semanal,24,Composto,Ferrugem,Não,Alto,195.48182400614584,Inverno,150
Arroz,92,377.2,Aluvial,Aspersão,Diária,31,Orgânico,Ferrugem,Não,Baixo,56.473986792586416,Verão,100
Uva,58,278.4,Argila,Gotejamento,Diária,35,Nitrogênio,Fungos,Sim,Alto,183.67146705471066,Inverno,200
Soja,55,236.5,Calcário,Gotejamento,Semanal,32,Fosfato,Fungos,Não,Médio,129.15516636294498,Outono,180
Café,90,432.0,Silte,Aspersão,Semanal,32,Nitrogênio,Nenhuma,Sim,Médio,198.94471941789504,Outono,200
Cana-de-Açúcar,90,234.0,Argila,Sulcos,Semanal,20,Nenhum,Fungos,Não,Baixo,61.06948471030983,Primavera,0
Arroz,62,229.4,Areia,Aspersão,Diária,27,Fosfato,Insetos,Não,Médio,133.07814266019813,Outono,180
Arroz,23,82.8,Argila,Aspersão,Diária,28,Orgânico,Insetos,Sim,Médio,195.39538034286485,Inverno,100
Soja,9,32.4,Argila,Aspersão,Semanal,30,Nenhum,Ferrugem,Não,Alto,128.46467662552232,Outono,0
Trigo,12,51.6,Calcário,Sulcos,Semanal,32,Fosfato,Insetos,Não,Médio,144.40979572028937,Primavera,180
Milho,1,4.3,Silte,Gotejamento,Semanal,35,Orgânico,Ferrugem,Sim,Baixo,154.36230334769257,Verão,100
Milho,58,214.6,Areia,Sulcos,Semanal,26,Nitrogênio,Insetos,Não,Alto,118.18115971516599,Inverno,200
Arroz,1,4.0,Aluvial,Gotejamento,Semanal,24,Fosfato,Nenhuma,Sim,Alto,144.13371201260952,Verão,180
Batata,34,156.39999999999998,Aluvial,Gotejamento,Diária,31,Orgânico,Nenhuma,Sim,Baixo,137.64714678846502,Primavera,100
Batata,96,268.79999999999995,Argila,Sulcos,Mensal,18,Nitrogênio,Ferrugem,Não,Alto,185.17370157364834,Primavera,200
Soja,48,172.8,Calcário,Gotejamento,Semanal,25,Nenhum,Nenhuma,Sim,Alto,56.81695705121868,Primavera,0
Milho,89,320.40000000000003,Calcário,Aspersão,Semanal,28,Nenhum,Ferrugem,Não,Baixo,92.14447843883454,Verão,0
Arroz,1,4.0,Aluvial,Gotejamento,Semanal,32,Nenhum,Ferrugem,Sim,Alto,192.56172261148382,Verão,0
Trigo,16,67.2,Areia,Sulcos,Diária,34,Nenhum,Insetos,Sim,Baixo,183.53956758363745,Verão,0
Milho,61,225.7,Silte,Aspersão,Diária,29,Composto,Ferrugem,Não,Baixo,118.34851291785694,Verão,150
Arroz,64,262.4,Areia,Aspersão,Diária,33,Fosfato,Insetos,Não,Médio,143.0198896702305,Primavera,180
Arroz,63,252.0,Silte,Gotejamento,Semanal,32,Fosfato,Ferrugem,Sim,Médio,91.6071774471699,Primavera,180
Café,69,213.9,Aluvial,Aspersão,Diária,21,Composto,Fungos,Não,Alto,78.2181739585642,Inverno,150
Trigo,22,85.8,Silte,Sulcos,Mensal,27,Orgânico,Nenhuma,Não,Alto,119.55476074099732,Inverno,100
Café,93,316.2,Calcário,Gotejamento,Mensal,24,Orgânico,Ferrugem,Não,Baixo,103.00283420390792,Verão,100
Soja,67,294.8,Argila,Sulcos,Mensal,34,Nenhum,Insetos,Não,Alto,137.5484167776308,Outono,0
Café,76,212.8,Argila,Aspersão,Mensal,23,Nitrogênio,Fungos,Sim,Baixo,61.66019554474772,Outono,200
Cana-de-Açúcar,26,109.2,Aluvial,Gotejamento,Diária,32,Orgânico,Fungos,Não,Baixo,196.15922114992497,Primavera,100
Café,16,44.8,Calcário,Aspersão,Mensal,18,Nitrogênio,Ferrugem,Não,Alto,197.93161167194043,Primavera,200
